Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,384.0,33.0,0.72,68.0,-9.0,-0.0,-20.0,-0.43,0
2011,425.0,48.0,1.07,98.0,0.0,0.0,7.0,0.16,45
2012,510.0,67.0,1.48,134.0,-6.0,-0.0,46.0,1.02,39
2013,597.0,87.0,1.89,166.0,-71.0,-0.0,67.0,1.46,29
2014,689.0,111.0,2.36,201.0,-80.0,-0.0,-2.0,-0.04,27
2015,776.0,130.0,2.76,244.0,-26.0,-0.0,-19.0,-0.4,17
2016,871.0,146.0,3.1,281.0,-10.0,-0.0,60.0,1.28,12
2017,973.0,201.0,4.19,335.0,-177.0,-0.0,192.0,4.0,37
2018,843.0,227.0,4.71,293.0,-130.0,-0.0,-26.0,-0.54,12
2019,777.0,258.0,5.36,285.0,-3.0,-0.0,283.0,5.9,13
