Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,72.0,2.0,0.07,0.0,0.0,0.0,0.0,0.0,0
2011,326.0,8.0,0.27,39.0,-128.0,-0.0,33.0,1.14,298
2012,474.0,46.0,1.44,92.0,-62.0,-0.0,45.0,1.41,474
2013,505.0,39.0,1.22,84.0,-95.0,-0.0,40.0,1.25,-15
2014,493.0,29.0,0.94,65.0,-62.0,-0.0,5.0,0.16,-25
2015,395.0,-105.0,-3.63,-134.0,-95.0,-0.0,35.0,1.21,-461
2016,314.0,-60.0,-2.0,-26.0,-134.0,-0.0,40.0,1.33,42
2017,268.0,-37.0,-1.2,-32.0,-94.0,-0.0,-36.0,-1.16,38
2018,223.0,-10.0,-0.31,-15.0,-78.0,-0.0,1.0,0.03,72
2019,170.0,-18.0,-0.54,-12.0,-66.0,-0.0,-10.0,-0.3,-80
2020,219.0,-18.0,-0.53,-12.0,-49.0,-0.0,-18.0,-0.53,0
