Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,5760.0,201.0,0.44,664.0,0.0,0.0,-2454.0,-5.38,0
2009,10350.0,99.0,0.27,920.0,922.0,1.0,400.0,1.09,-50
2010,12104.0,459.0,0.59,1509.0,-158.0,-0.0,1068.0,1.42,363
2011,15658.0,17.0,0.68,1209.0,607.0,0.5,388.0,15.52,-96
2012,17088.0,421.0,0.55,1648.0,184.0,0.11,716.0,0.95,2375
2013,17699.0,754.0,1.04,2177.0,-332.0,-0.0,1044.0,1.45,79
2014,18605.0,1136.0,1.62,2854.0,-296.0,-0.0,1154.0,1.67,50
2015,19820.0,2181.0,3.26,4575.0,127.0,0.03,1197.0,1.8,91
2016,20289.0,2183.0,3.54,4722.0,82.0,0.02,2255.0,3.67,0
2017,21146.0,3357.0,5.78,4513.0,395.0,0.09,1806.0,3.12,53
2018,21965.0,2465.0,4.27,4389.0,-312.0,-0.0,2971.0,5.18,-26
2019,22428.0,2300.0,4.25,4168.0,-1407.0,-0.0,2960.0,5.5,-6
2020,21513.0,1819.0,3.36,3541.0,-462.0,-0.0,1414.0,2.75,-20
