Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,28.0,2.0,0.12,2.0,5.0,2.5,0.0,0.0,0
2011,68.0,2.0,0.12,7.0,4.0,0.57,-2.0,-0.13,0
2012,79.0,5.0,0.31,9.0,1.0,0.11,1.0,0.06,148
2013,96.0,3.0,0.19,9.0,4.0,0.44,-4.0,-0.25,-40
2014,118.0,2.0,0.12,7.0,4.0,0.57,0.0,0.0,-33
2015,116.0,4.0,0.24,6.0,1.0,0.17,1.0,0.06,99
2016,122.0,3.0,0.19,7.0,-1.0,-0.0,0.0,0.0,-25
2017,117.0,2.0,0.12,2.0,2.0,1.0,-1.0,-0.06,-33
2018,102.0,-1.0,-0.06,1.0,3.0,3.0,0.0,0.0,-149
2019,92.0,-2.0,-0.12,4.0,-1.0,-0.0,1.0,0.07,-102
