Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1028.0,57.0,1.59,51.0,0.0,0.0,30.0,0.83,0
2010,2601.0,124.0,3.44,241.0,116.0,0.48,158.0,4.39,117
2011,2867.0,131.0,3.63,285.0,86.0,0.3,162.0,4.5,5
2012,2580.0,93.0,2.52,222.0,66.0,0.3,112.0,3.03,-29
2013,2309.0,-7.0,-0.2,52.0,-69.0,-0.0,174.0,4.83,-107
2014,1773.0,45.0,1.22,123.0,-23.0,-0.0,117.0,3.16,743
2015,1549.0,49.0,1.32,114.0,-41.0,-0.0,147.0,3.97,8
2016,1600.0,54.0,1.42,119.0,-64.0,-0.0,86.0,2.26,10
2017,1715.0,113.0,2.88,131.0,22.0,0.17,114.0,2.92,109
2018,1958.0,80.0,2.03,163.0,2.0,0.01,61.0,1.56,-29
2019,2221.0,112.0,5.6,193.0,28.0,0.15,164.0,8.2,39
2020,2330.0,119.0,5.95,207.0,27.0,0.13,142.0,7.1,6
