Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,192.0,18.0,0.6,0.0,0.0,0.0,0.0,0.0,0
2010,819.0,70.0,2.41,140.0,177.0,1.26,84.0,2.9,288
2011,897.0,72.0,2.57,145.0,256.0,1.77,76.0,2.71,2
2012,899.0,53.0,1.97,118.0,261.0,2.21,53.0,1.96,-26
2013,983.0,53.0,1.97,127.0,326.0,2.57,83.0,3.07,0
2014,1103.0,41.0,1.46,118.0,666.0,5.64,62.0,2.21,-22
2015,1424.0,62.0,1.94,170.0,830.0,4.88,93.0,2.91,51
2016,1479.0,64.0,2.01,147.0,816.0,5.55,100.0,3.13,3
2017,1513.0,72.0,2.25,186.0,853.0,4.59,108.0,3.38,12
2018,1601.0,106.0,3.42,209.0,919.0,4.4,109.0,3.52,47
2019,1536.0,-40.0,-1.3,91.0,905.0,9.95,106.0,3.42,-137
2020,1526.0,-52.0,-1.68,78.0,927.0,11.88,102.0,3.29,-30
