Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1369.0,90.0,2.19,135.0,508.0,3.76,90.0,2.2,0
2011,1461.0,32.0,0.78,171.0,188.0,1.1,59.0,1.44,-64
2012,1559.0,44.0,1.05,191.0,299.0,1.57,63.0,1.5,37
2013,1635.0,53.0,1.26,190.0,171.0,0.9,165.0,3.93,20
2014,1712.0,69.0,1.61,206.0,80.0,0.39,142.0,3.3,30
2015,1883.0,101.0,2.34,302.0,404.0,1.34,199.0,4.63,46
2016,1940.0,81.0,1.89,289.0,725.0,2.51,73.0,1.7,-19
2017,2045.0,231.0,5.5,295.0,837.0,2.84,170.0,4.05,185
2018,2221.0,107.0,2.47,296.0,837.0,2.83,242.0,5.63,-53
2019,2201.0,81.0,1.85,324.0,937.0,2.89,161.0,3.74,-24
