Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,29.0,-5.0,-0.31,-3.0,0.0,0.0,7.0,0.44,0
2011,52.0,-3.0,-0.18,-2.0,109.0,0.0,14.0,0.82,39
2012,48.0,8.0,0.47,7.0,105.0,15.0,12.0,0.71,367
2013,47.0,24.0,1.42,9.0,12.0,1.33,9.0,0.53,199
2014,47.0,5.0,0.24,10.0,0.0,0.0,6.0,0.27,-79
2015,50.0,11.0,0.5,18.0,1.0,0.06,10.0,0.45,119
2016,53.0,12.0,0.55,22.0,-18.0,-0.0,11.0,0.5,8
2017,55.0,8.0,0.37,23.0,-18.0,-0.0,12.0,0.55,-33
2018,58.0,14.0,0.62,23.0,-7.0,-0.0,19.0,0.86,74
2019,48.0,8.0,0.44,14.0,-6.0,-0.0,17.0,2.43,-42
