Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,32.0,-6.0,-0.76,-5.0,0.0,0.0,1.0,0.13,0
2011,57.0,36.0,4.51,10.0,139.0,13.9,21.0,2.63,701
2012,52.0,10.0,1.26,18.0,111.0,6.17,15.0,1.88,-72
2013,53.0,16.0,2.01,25.0,129.0,5.16,27.0,3.38,59
2014,85.0,15.0,1.15,30.0,232.0,7.73,13.0,1.0,-6
2015,115.0,25.0,1.58,49.0,235.0,4.8,34.0,2.13,66
2016,125.0,30.0,1.88,54.0,300.0,5.56,33.0,2.06,19
2017,127.0,29.0,1.82,54.0,328.0,6.07,36.0,2.25,-3
2018,137.0,40.0,2.48,59.0,435.0,7.37,60.0,3.75,37
2019,150.0,59.0,3.67,66.0,449.0,6.8,43.0,2.69,47
