Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,35.0,2.0,0.14,4.0,0.0,0.0,14.0,1.0,0
2011,60.0,5.0,0.25,7.0,161.0,23.0,8.0,0.42,148
2012,60.0,34.0,1.36,18.0,101.0,5.61,8.0,0.32,578
2013,56.0,8.0,-0.28,15.0,93.0,6.2,12.0,-0.44,-76
2014,55.0,8.0,0.32,15.0,98.0,6.53,11.0,0.44,0
2015,59.0,11.0,0.37,19.0,108.0,5.68,9.0,0.32,37
2016,65.0,14.0,0.46,23.0,98.0,4.26,11.0,0.38,27
2017,67.0,14.0,0.45,27.0,99.0,3.67,20.0,0.69,0
2018,76.0,24.0,0.79,33.0,61.0,1.85,23.0,0.77,71
2019,82.0,31.0,0.89,39.0,49.0,1.26,25.0,0.74,29
2020,82.0,30.0,0.86,38.0,65.0,1.71,26.0,0.76,-3
