Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,650.0,91.0,1.97,82.0,0.0,0.0,104.0,2.26,0
2010,1400.0,201.0,4.28,333.0,104.0,0.31,229.0,4.87,120
2011,1586.0,216.0,2.23,379.0,8.0,0.02,240.0,2.47,7
2012,1815.0,239.0,2.42,419.0,118.0,0.28,312.0,3.15,10
2013,2152.0,278.0,2.78,490.0,-9.0,-0.0,390.0,3.9,16
2014,2437.0,316.0,3.2,559.0,515.0,0.92,406.0,4.1,13
2015,2778.0,334.0,3.59,621.0,1214.0,1.95,343.0,3.69,5
2016,3181.0,323.0,3.47,664.0,1639.0,2.47,405.0,4.35,-3
2017,3457.0,318.0,3.46,586.0,1782.0,3.04,462.0,5.02,-1
2018,1833.0,267.0,2.91,559.0,1918.0,3.43,243.0,2.67,-16
2019,3512.0,-1496.0,-18.02,-1053.0,1545.0,0.0,317.0,3.82,-660
