Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3.0,-2.0,-0.16,-1.0,0.0,0.0,-2.0,-0.17,0
2011,9.0,-11.0,-0.58,-6.0,3.0,0.0,-5.0,-0.26,-452
2012,45.0,-8.0,-0.23,-2.0,5.0,0.0,0.0,0.0,27
2013,39.0,-10.0,-0.27,-5.0,-1.0,-0.0,-2.0,-0.05,-25
2014,43.0,-2.0,-0.05,1.0,-14.0,-0.0,3.0,0.07,79
2015,55.0,6.0,0.12,9.0,-18.0,-0.0,3.0,0.06,401
2016,75.0,44.0,0.78,21.0,-20.0,-0.0,20.0,0.35,632
2017,123.0,-64.0,-0.95,-46.0,31.0,0.0,25.0,0.37,-245
2018,176.0,0.0,0.0,16.0,8.0,0.5,22.0,0.29,100
2019,210.0,9.0,0.1,21.0,6.0,0.29,43.0,0.57,89900
