Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,8.0,-1.0,-0.34,1.0,0.0,0.0,1.0,0.33,0
2011,19.0,4.0,1.32,4.0,15.0,3.75,6.0,2.0,504
2012,23.0,7.0,1.75,5.0,-18.0,-0.0,8.0,2.0,74
2013,23.0,5.0,1.0,5.0,1.0,0.2,8.0,1.6,-28
2014,25.0,2.0,0.4,2.0,28.0,14.0,6.0,1.2,-60
2015,32.0,4.0,0.68,7.0,20.0,2.86,11.0,1.83,99
2016,35.0,2.0,0.34,9.0,23.0,2.56,0.0,0.0,-50
2017,39.0,3.0,0.5,12.0,42.0,3.5,14.0,2.33,49
2018,49.0,8.0,0.98,12.0,-7.0,-0.0,20.0,2.5,165
2019,59.0,12.0,1.2,19.0,15.0,0.79,7.0,0.7,49
