Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,27.0,2.0,0.34,3.0,0.0,0.0,1.0,0.17,0
2011,55.0,2.0,0.34,9.0,106.0,11.78,27.0,4.5,0
2012,54.0,6.0,1.0,15.0,78.0,5.2,14.0,2.33,198
2013,52.0,7.0,1.01,17.0,145.0,8.53,16.0,2.29,16
2014,56.0,9.0,1.3,17.0,195.0,11.47,6.0,0.86,28
2015,58.0,11.0,1.58,19.0,227.0,11.95,12.0,1.71,22
2016,62.0,12.0,1.72,20.0,236.0,11.8,22.0,3.14,8
2017,64.0,10.0,1.43,22.0,213.0,9.68,14.0,2.0,-16
2018,81.0,18.0,2.24,24.0,297.0,12.38,21.0,2.63,79
2019,88.0,22.0,2.74,30.0,252.0,8.4,16.0,2.0,22
