Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,216.0,21.0,0.91,33.0,0.0,0.0,2.0,0.09,0
2010,530.0,55.0,2.4,143.0,351.0,2.45,67.0,2.91,161
2011,544.0,59.0,1.73,156.0,321.0,2.06,67.0,1.97,7
2012,540.0,63.0,1.85,160.0,315.0,1.97,48.0,1.41,6
2013,590.0,73.0,2.15,175.0,335.0,1.91,22.0,0.65,15
2014,618.0,79.0,2.32,188.0,341.0,1.81,37.0,1.09,8
2015,562.0,70.0,2.05,174.0,309.0,1.78,69.0,2.03,-11
2016,542.0,74.0,2.17,181.0,291.0,1.61,63.0,1.85,5
2017,561.0,96.0,2.82,191.0,319.0,1.67,27.0,0.79,29
2018,558.0,83.0,2.42,185.0,427.0,2.31,-60.0,-1.76,-13
2019,1136.0,311.0,2.92,393.0,519.0,1.32,-72.0,-0.68,274
