Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0
2011,23.0,-2.0,-1.0,2.0,-1.0,-0.0,-2.0,-1.0,-199
2012,18.0,-6.0,-3.0,-2.0,-1.0,-0.0,-4.0,-2.0,-201
2013,19.0,-5.0,-2.5,2.0,0.0,0.0,-4.0,-2.0,16
2014,23.0,4.0,2.0,4.0,2.0,0.5,0.0,0.0,180
2015,19.0,0.0,0.0,4.0,1.0,0.25,0.0,0.0,-100
2016,17.0,-2.0,-1.0,4.0,0.0,0.0,-4.0,-2.0,-20099
2017,18.0,-4.0,-2.0,2.0,0.0,0.0,-2.0,-1.0,-101
2018,19.0,-2.0,-1.0,2.0,-1.0,-0.0,-4.0,-2.0,49
2019,15.0,-4.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-101
