Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,32.0,5.0,1.66,9.0,3.0,0.33,1.0,0.33,0
2012,37.0,6.0,2.0,12.0,-7.0,-0.0,6.0,2.0,19
2013,44.0,7.0,2.34,14.0,0.0,0.0,5.0,1.67,16
2014,51.0,6.0,1.99,14.0,11.0,0.79,5.0,1.67,-14
2015,69.0,8.0,2.67,20.0,25.0,1.25,6.0,2.0,33
2016,82.0,8.0,2.67,21.0,44.0,2.1,9.0,3.0,0
2017,92.0,9.0,3.0,22.0,50.0,2.27,-3.0,-1.0,12
2018,93.0,-4.0,-1.34,8.0,41.0,5.13,20.0,6.67,-144
2019,101.0,7.0,1.75,16.0,12.0,0.75,27.0,6.75,275
2020,108.0,4.0,1.0,20.0,66.0,3.3,24.0,6.0,-42
