Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,7.0,16.0,0.8,-5.0,0.0,0.0,-3.0,-0.15,0
2011,11.0,6.0,0.28,-4.0,50.0,0.0,-8.0,-0.36,-62
2012,10.0,-4.0,-0.24,-1.0,53.0,0.0,-4.0,-0.25,-166
2013,10.0,0.0,0.0,-2.0,49.0,0.0,-2.0,-2.0,100
2014,32.0,17.0,0.95,22.0,49.0,2.23,-2.0,-0.11,169899
2015,20.0,6.0,0.37,13.0,40.0,3.08,10.0,0.59,-64
2016,45.0,21.0,1.16,24.0,6.0,0.25,31.0,1.72,249
2017,43.0,9.0,0.56,35.0,1.0,0.03,10.0,0.63,-57
2018,16.0,0.0,0.0,7.0,2.0,0.29,2.0,2.0,-100
2019,22.0,-12.0,-0.62,12.0,1.0,0.08,2.0,0.11,-120100
2020,19.0,-12.0,-0.62,4.0,1.0,0.25,2.0,0.12,0
