Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,20.0,-47.0,-2.6,4.0,0.0,0.0,1.0,0.06,0
2011,62.0,-18.0,3.6,15.0,1025.0,68.33,13.0,-2.6,61
2012,56.0,-36.0,-36.0,-22.0,992.0,0.0,4.0,4.0,-100
2013,40.0,99.0,14.13,113.0,375.0,3.32,2.0,0.29,375
2014,42.0,-81.0,-81.0,-85.0,261.0,0.0,-2.0,-2.0,-181
2015,37.0,-35.0,-35.0,-33.0,221.0,0.0,-12.0,-12.0,56
2016,26.0,-4.0,-4.0,-37.0,198.0,0.0,9.0,9.0,88
2017,8.0,-24.0,-24.0,-49.0,181.0,0.0,12.0,12.0,-501
2018,9.0,59.0,9.82,-8.0,121.0,0.0,9.0,1.5,345
2019,81.0,99.0,19.8,39.0,193.0,4.95,8.0,1.6,67
