Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,43.0,2.0,0.08,3.0,0.0,0.0,0.0,0.0,0
2011,140.0,4.0,0.24,9.0,36.0,4.0,-7.0,-0.44,99
2012,203.0,7.0,0.7,17.0,44.0,2.59,-10.0,-1.0,74
2013,228.0,7.0,0.87,21.0,44.0,2.1,2.0,0.25,0
2014,176.0,5.0,0.55,15.0,96.0,6.4,-4.0,-0.44,-28
2015,202.0,-2.0,0.18,7.0,139.0,19.86,2.0,-0.18,-139
2016,171.0,-37.0,0.12,-1.0,88.0,0.0,-22.0,0.08,-1759
2017,212.0,-7.0,0.1,3.0,77.0,25.67,4.0,-0.08,81
2018,239.0,-11.0,0.12,3.0,35.0,11.67,-5.0,0.06,-57
2019,222.0,-8.0,-0.42,-3.0,29.0,0.0,-1.0,-0.05,27
