Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,30.0,4.0,0.5,5.0,0.0,0.0,-3.0,-0.38,0
2011,62.0,11.0,1.39,22.0,175.0,7.95,17.0,2.13,174
2012,71.0,15.0,1.88,26.0,173.0,6.65,24.0,3.0,36
2013,67.0,16.0,2.0,28.0,159.0,5.68,21.0,2.63,6
2014,68.0,15.0,1.88,28.0,145.0,5.18,11.0,1.38,-6
2015,109.0,23.0,2.3,39.0,156.0,4.0,20.0,2.0,53
2016,121.0,18.0,1.63,36.0,197.0,5.47,32.0,2.91,-21
2017,124.0,18.0,1.5,36.0,203.0,5.64,35.0,2.92,0
2018,127.0,28.0,2.32,44.0,198.0,4.5,37.0,3.08,55
2019,173.0,42.0,2.98,58.0,303.0,5.22,44.0,3.14,49
