Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,2.0,0.66,1.0,0.0,0.0,0.0,0.0,0
2011,23.0,4.0,1.32,5.0,13.0,2.6,5.0,1.67,99
2012,24.0,4.0,1.32,7.0,11.0,1.57,8.0,2.67,0
2013,25.0,4.0,1.32,8.0,39.0,4.88,7.0,2.33,0
2014,28.0,4.0,1.32,8.0,45.0,5.63,3.0,1.0,0
2015,34.0,5.0,1.25,11.0,66.0,6.0,6.0,1.5,24
2016,39.0,6.0,1.5,21.0,7.0,0.33,17.0,4.25,19
2017,41.0,6.0,1.5,13.0,44.0,3.38,5.0,1.25,0
2018,61.0,9.0,1.27,15.0,94.0,6.27,1.0,0.14,49
2019,81.0,16.0,2.0,26.0,34.0,1.31,4.0,0.5,77
