Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,26.0,9.0,0.6,12.0,0.0,0.0,18.0,1.2,0
2011,23.0,12.0,0.79,35.0,157.0,4.49,21.0,1.4,33
2012,27.0,12.0,0.8,37.0,167.0,4.51,28.0,1.87,0
2013,27.0,15.0,0.94,41.0,158.0,3.85,31.0,1.94,24
2014,117.0,16.0,1.01,44.0,158.0,3.59,20.0,1.25,6
2015,126.0,18.0,1.13,46.0,137.0,2.98,51.0,3.19,12
2016,130.0,20.0,1.25,51.0,149.0,2.92,26.0,1.63,11
2017,130.0,21.0,1.31,52.0,169.0,3.25,33.0,2.06,4
2018,136.0,30.0,1.87,54.0,204.0,3.78,83.0,5.19,42
2019,132.0,33.0,2.05,53.0,255.0,4.81,-35.0,-2.19,9
