Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,58437.0,14569.0,1.6,22383.0,-24017.0,-0.0,15918.0,1.77,0
2010,62484.0,18760.0,2.08,27686.0,-30849.0,-0.0,22096.0,2.48,28
2011,69943.0,23150.0,2.67,30837.0,-40851.0,-0.0,24639.0,2.87,23
2012,73723.0,16978.0,1.99,25234.0,-51096.0,-0.0,29321.0,3.45,-26
2013,77849.0,21863.0,2.56,30807.0,-61422.0,-0.0,24576.0,2.9,28
2014,86833.0,22074.0,2.61,33032.0,-63064.0,-0.0,27017.0,3.22,0
2015,93580.0,12193.0,1.48,24464.0,-61234.0,-0.0,23724.0,2.87,-44
2016,91154.0,20539.0,2.54,32261.0,-59779.0,-0.0,24982.0,3.12,68
2017,96571.0,25489.0,3.25,38679.0,-46787.0,-0.0,31378.0,4.01,24
2018,110360.0,16571.0,2.12,46735.0,-57528.0,-0.0,32252.0,4.14,-34
2019,125843.0,39240.0,5.04,55370.0,-61641.0,-0.0,38260.0,4.93,136
2020,138699.0,46266.0,6.0,64426.0,-71016.0,-0.0,43362.0,5.65,17
