Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1966.0,230.0,6.97,371.0,233.0,0.63,195.0,5.91,0
2011,2308.0,268.0,8.64,419.0,269.0,0.64,187.0,6.03,16
2012,2340.0,289.0,9.32,459.0,287.0,0.63,232.0,7.48,7
2013,2377.0,305.0,10.51,482.0,301.0,0.62,263.0,9.07,5
2014,2484.0,337.0,12.03,522.0,366.0,0.7,330.0,11.79,10
2015,2394.0,351.0,13.0,553.0,491.0,0.89,358.0,13.26,4
2016,2506.0,382.0,14.69,598.0,735.0,1.23,336.0,12.92,8
2017,2723.0,373.0,14.92,682.0,831.0,1.22,399.0,15.96,-2
2018,2932.0,511.0,20.44,769.0,856.0,1.11,431.0,17.24,36
2019,2985.0,559.0,23.28,786.0,1083.0,1.38,507.0,21.13,9
