Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,1524.0,38.0,1.9,100.0,68.0,0.68,30.0,1.5,0
2012,1271.0,23.0,1.15,73.0,77.0,1.05,-6.0,-0.3,-39
2013,1166.0,18.0,0.9,68.0,42.0,0.62,45.0,2.25,-21
2014,1124.0,40.0,2.0,99.0,11.0,0.11,34.0,1.7,122
2015,1024.0,30.0,1.5,82.0,-12.0,-0.0,40.0,2.0,-25
2016,967.0,24.0,1.26,72.0,-27.0,-0.0,34.0,1.79,-20
2017,1137.0,11.0,0.55,80.0,-38.0,-0.0,43.0,2.15,-54
2018,1207.0,20.0,1.0,61.0,-67.0,-0.0,43.0,2.15,81
2019,1183.0,48.0,2.4,104.0,-123.0,-0.0,73.0,3.65,139
2020,1159.0,29.0,1.45,84.0,-105.0,-0.0,89.0,4.45,-39
