Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,625.0,17.0,0.65,37.0,-58.0,-0.0,12.0,0.46,0
2012,736.0,15.0,0.58,41.0,-39.0,-0.0,-8.0,-0.31,-11
2013,890.0,22.0,0.84,47.0,-63.0,-0.0,36.0,1.38,46
2014,1261.0,35.0,1.34,75.0,-66.0,-0.0,55.0,2.12,59
2015,1341.0,-1.0,-0.03,32.0,-71.0,-0.0,14.0,0.52,-102
2016,1310.0,24.0,0.88,60.0,-70.0,-0.0,21.0,0.78,2524
2017,1195.0,0.0,0.0,25.0,2.0,0.08,-29.0,-1.12,-100
2018,1089.0,-12.0,-0.46,10.0,-63.0,-0.0,66.0,2.54,-120100
2019,1414.0,25.0,0.91,56.0,-84.0,-0.0,24.0,0.89,308
2020,1412.0,-2.0,-0.11,26.0,-95.0,-0.0,42.0,1.62,-107
