Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,84.0,1.0,0.06,0.0,0.0,0.0,0.0,0.0,0
2011,465.0,48.0,3.2,85.0,-64.0,-0.0,49.0,3.27,4652
2012,540.0,50.0,3.33,92.0,-78.0,-0.0,46.0,3.07,4
2013,567.0,56.0,3.73,95.0,-13.0,-0.0,-30.0,-2.0,11
2014,563.0,40.0,2.67,77.0,0.0,0.0,42.0,2.8,-28
2015,561.0,43.0,2.87,80.0,-30.0,-0.0,82.0,5.47,7
2016,648.0,25.0,1.57,65.0,380.0,5.85,49.0,3.06,-41
2017,786.0,23.0,1.21,91.0,349.0,3.84,55.0,2.89,-8
2018,776.0,59.0,3.11,108.0,316.0,2.93,58.0,3.05,156
2019,892.0,41.0,2.14,123.0,454.0,3.69,43.0,2.26,-30
2020,894.0,36.0,1.88,121.0,476.0,3.93,21.0,1.11,-12
