Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,3.0,-22.0,0.0,-22.0,0.0,0.0,-35.0,0.0,0
2011,4.0,-34.0,0.0,-31.0,-11.0,-0.0,-31.0,0.0,-54
2012,6.0,-20.0,0.0,-19.0,-5.0,-0.0,-22.0,0.0,41
2013,4.0,-11.0,-0.37,-10.0,-5.0,-0.0,-14.0,-0.5,44
2014,4.0,-17.0,-0.4,-16.0,-8.0,-0.0,-15.0,-0.37,-54
2015,8.0,-12.0,-0.24,-12.0,-7.0,-0.0,-8.0,-0.17,29
2016,13.0,-15.0,-0.26,-13.0,-14.0,-0.0,-16.0,-0.31,-25
2017,9.0,-23.0,-23.0,-22.0,-15.0,-0.0,-18.0,-18.0,-53
2018,16.0,-25.0,-25.0,-23.0,-12.0,-0.0,-25.0,-25.0,-8
2019,7.0,-25.0,-0.21,-18.0,-4.0,-0.0,-41.0,-0.37,0
