Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,362.0,2.0,0.09,13.0,0.0,0.0,12.0,0.55,0
2011,754.0,22.0,0.72,72.0,68.0,0.94,43.0,1.43,994
2012,545.0,27.0,0.88,64.0,-3.0,-0.0,46.0,1.53,22
2013,582.0,24.0,0.75,67.0,-6.0,-0.0,76.0,2.45,-11
2014,622.0,-8.0,0.47,52.0,232.0,4.46,16.0,-0.94,-133
2015,569.0,18.0,0.57,65.0,184.0,2.83,18.0,0.58,325
2016,533.0,2.0,0.4,56.0,187.0,3.34,21.0,4.2,-88
2017,546.0,-11.0,0.33,53.0,149.0,2.81,48.0,-1.37,-647
2018,565.0,-5.0,0.62,31.0,18.0,0.58,57.0,-7.13,54
2019,514.0,22.0,0.62,59.0,2.0,0.03,49.0,1.4,540
