Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,206.0,23.0,0.34,37.0,0.0,0.0,119.0,1.78,0
2010,1040.0,166.0,2.42,265.0,67.0,0.25,127.0,1.87,621
2011,1231.0,220.0,3.22,346.0,285.0,0.82,227.0,3.34,32
2012,1407.0,223.0,3.42,374.0,596.0,1.59,249.0,3.83,1
2013,1541.0,220.0,3.42,378.0,615.0,1.63,223.0,3.48,-1
2014,1702.0,244.0,3.8,425.0,762.0,1.79,245.0,3.83,10
2015,1687.0,209.0,3.41,381.0,1070.0,2.81,199.0,3.26,-14
2016,1807.0,270.0,4.71,457.0,919.0,2.01,274.0,4.81,29
2017,2065.0,293.0,5.04,545.0,1497.0,2.75,290.0,5.0,8
2018,2253.0,375.0,6.45,603.0,1223.0,2.03,416.0,7.17,27
2019,2192.0,334.0,5.73,585.0,1098.0,1.88,321.0,5.53,-10
2020,2189.0,338.0,5.8,578.0,1002.0,1.73,381.0,6.57,1
