Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,3639.0,1677.0,6.5,2425.0,15.0,0.01,705.0,2.73,0
2010,2804.0,771.0,3.05,1463.0,2429.0,1.66,232.0,0.92,-54
2011,2693.0,362.0,1.45,1148.0,3832.0,3.34,-1881.0,-7.49,-53
2012,2200.0,554.0,2.2,1069.0,4352.0,4.07,-287.0,-1.14,53
2013,2537.0,848.0,3.35,1622.0,5442.0,3.36,-724.0,-2.86,53
2014,3230.0,82.0,0.32,1047.0,4801.0,4.59,-297.0,-1.18,-90
2015,3350.0,510.0,2.11,1589.0,3949.0,2.49,1347.0,5.57,521
2016,2300.0,-930.0,-3.83,-152.0,3614.0,0.0,542.0,2.23,-282
2017,1235.0,-515.0,-2.11,388.0,3382.0,8.72,344.0,1.41,44
2018,2117.0,-884.0,-3.57,30.0,3502.0,116.73,-17.0,-0.07,-71
2019,2152.0,-812.0,-3.26,154.0,3663.0,23.79,-166.0,-0.67,8
