Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,354.0,26.0,2.0,26.0,0.0,0.0,19.0,1.46,0
2011,771.0,63.0,3.94,127.0,-136.0,-0.0,58.0,3.63,142
2012,759.0,57.0,3.56,120.0,-163.0,-0.0,43.0,2.69,-9
2013,787.0,62.0,3.88,129.0,-176.0,-0.0,60.0,3.75,8
2014,870.0,51.0,3.65,117.0,-188.0,-0.0,28.0,2.0,-17
2015,904.0,51.0,3.65,121.0,-31.0,-0.0,26.0,1.86,0
2016,925.0,48.0,3.2,117.0,-41.0,-0.0,29.0,1.93,-5
2017,965.0,54.0,3.6,114.0,-116.0,-0.0,62.0,4.13,12
2018,978.0,59.0,3.93,115.0,-143.0,-0.0,73.0,4.87,9
2019,995.0,66.0,4.38,129.0,-209.0,-0.0,74.0,4.93,11
