Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,22.0,6.0,1.0,5.0,0.0,0.0,5.0,0.83,0
2011,48.0,16.0,2.68,22.0,-11.0,-0.0,14.0,2.33,166
2012,48.0,16.0,2.68,23.0,-14.0,-0.0,17.0,2.83,0
2013,48.0,16.0,2.68,23.0,-13.0,-0.0,21.0,3.5,0
2014,47.0,16.0,2.68,22.0,-12.0,-0.0,18.0,3.0,0
2015,47.0,14.0,2.34,17.0,-12.0,-0.0,17.0,2.83,-12
2016,44.0,12.0,2.0,18.0,-13.0,-0.0,15.0,2.5,-14
2017,45.0,12.0,2.0,18.0,-12.0,-0.0,8.0,1.33,0
2018,44.0,15.0,2.48,17.0,-12.0,-0.0,16.0,2.67,24
2019,44.0,15.0,2.48,19.0,-10.0,-0.0,16.0,2.67,0
