Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,36.0,-12.0,-0.52,-12.0,-13.0,-0.0,-18.0,-0.78,0
2011,60.0,-5.0,-0.2,-3.0,-7.0,-0.0,-11.0,-0.44,58
2012,34.0,-12.0,-0.45,-11.0,-5.0,-0.0,-8.0,-0.3,-140
2013,21.0,-9.0,-0.3,-7.0,-1.0,-0.0,-9.0,-0.3,24
2014,17.0,-14.0,-0.36,-11.0,-7.0,-0.0,-8.0,-0.2,-55
2015,6.0,-19.0,-0.39,-15.0,-5.0,-0.0,-11.0,-0.23,-35
2016,17.0,-9.0,-0.18,-9.0,6.0,0.0,-22.0,-0.42,52
2017,37.0,-12.0,-0.16,-10.0,10.0,0.0,-14.0,-0.21,-33
2018,32.0,-15.0,-0.11,-14.0,5.0,0.0,-13.0,-0.12,-25
2019,25.0,-11.0,-0.04,-9.0,10.0,0.0,-14.0,-0.09,26
