Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,360.0,18.0,0.2,46.0,0.0,0.0,17.0,0.2,0
2011,907.0,77.0,0.77,148.0,166.0,1.12,-50.0,-0.52,327
2012,982.0,58.0,0.61,123.0,212.0,1.72,67.0,0.72,-24
2013,1040.0,63.0,0.67,135.0,119.0,0.88,86.0,0.95,8
2014,1116.0,101.0,1.06,170.0,96.0,0.56,-13.0,-0.14,60
2015,675.0,-90.0,0.72,-57.0,71.0,0.0,55.0,-0.44,-189
2016,941.0,-40.0,0.7,-16.0,68.0,0.0,-19.0,0.35,55
2017,1494.0,-7.0,0.31,72.0,103.0,1.43,16.0,-0.73,82
2018,1892.0,30.0,0.33,112.0,105.0,0.94,22.0,0.26,529
2019,1639.0,-13.0,-0.14,63.0,111.0,1.76,41.0,0.45,-143
