Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,30.0,3.0,0.49,7.0,0.0,0.0,11.0,1.83,0
2011,74.0,10.0,1.66,22.0,5.0,0.23,13.0,2.17,232
2012,84.0,12.0,2.0,25.0,4.0,0.16,13.0,2.17,19
2013,90.0,13.0,1.83,26.0,-12.0,-0.0,13.0,1.86,8
2014,98.0,17.0,2.42,31.0,-33.0,-0.0,21.0,3.0,30
2015,101.0,16.0,2.27,29.0,-37.0,-0.0,16.0,2.29,-5
2016,108.0,18.0,0.84,35.0,-30.0,-0.0,20.0,0.95,12
2017,115.0,21.0,0.98,37.0,-33.0,-0.0,22.0,1.05,16
2018,119.0,27.0,1.12,40.0,25.0,0.63,33.0,1.38,28
2019,126.0,31.0,1.24,46.0,20.0,0.43,34.0,1.36,14
