Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,28.0,5.0,0.83,5.0,11.0,2.2,-7.0,-1.17,0
2011,53.0,10.0,1.66,18.0,9.0,0.5,-9.0,-1.5,99
2012,56.0,12.0,2.0,20.0,2.0,0.1,28.0,4.67,19
2013,55.0,10.0,1.66,19.0,13.0,0.68,13.0,2.17,-16
2014,70.0,15.0,2.5,26.0,27.0,1.04,16.0,2.67,49
2015,100.0,16.0,2.67,28.0,21.0,0.75,5.0,0.83,6
2016,98.0,13.0,2.17,22.0,15.0,0.68,18.0,3.0,-18
2017,95.0,12.0,2.0,26.0,19.0,0.73,12.0,2.0,-7
2018,91.0,18.0,2.98,26.0,25.0,0.96,20.0,3.33,49
2019,131.0,19.0,3.14,46.0,-1.0,-0.0,-4.0,-0.67,5
