Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,69.0,2.0,0.1,3.0,20.0,6.67,1.0,0.05,0
2012,69.0,2.0,0.1,5.0,17.0,3.4,0.0,0.0,0
2013,70.0,4.0,0.21,7.0,12.0,1.71,-2.0,-0.11,99
2014,73.0,5.0,0.26,6.0,9.0,1.5,2.0,0.11,24
2015,75.0,6.0,0.31,6.0,8.0,1.33,-1.0,-0.05,19
2016,81.0,6.0,0.35,7.0,2.0,0.29,4.0,0.22,0
2017,85.0,6.0,0.35,6.0,0.0,0.0,-2.0,-0.11,0
2018,91.0,6.0,0.35,8.0,-5.0,-0.0,2.0,0.11,0
2019,101.0,10.0,3.32,14.0,-8.0,-0.0,3.0,1.0,66
2020,105.0,13.0,2.65,16.0,-11.0,-0.0,0.0,0.0,29
