Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,33.0,20.0,0.71,0.0,0.0,0.0,0.0,0.0,0
2011,6.0,7.0,0.23,0.0,-21.0,0.0,1.0,0.03,-65
2012,7.0,2.0,0.08,3.0,-22.0,-0.0,2.0,0.07,-71
2013,7.0,0.0,0.0,3.0,-19.0,-0.0,3.0,0.11,-100
2014,11.0,0.0,0.0,4.0,-18.0,-0.0,5.0,0.19,-100
2015,15.0,3.0,0.12,5.0,-21.0,-0.0,5.0,0.21,29900
2016,64.0,22.0,0.92,32.0,-51.0,-0.0,30.0,1.25,630
2017,15.0,3.0,0.12,5.0,-54.0,-0.0,5.0,0.19,-86
2018,22.0,7.0,0.28,9.0,-54.0,-0.0,8.0,0.32,132
2019,4.0,-4.0,-0.16,-4.0,-47.0,-0.0,0.0,0.0,-157
