Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-18.0,-0.16,-9.0,0.0,0.0,-9.0,-0.08,0
2011,14.0,-17.0,-0.16,-15.0,-16.0,-0.0,-26.0,-0.23,5
2012,20.0,-27.0,-0.2,-25.0,-41.0,-0.0,-22.0,-0.17,-58
2013,18.0,-50.0,-0.29,-46.0,-130.0,-0.0,-47.0,-0.28,-85
2014,29.0,-80.0,-0.36,-77.0,-165.0,-0.0,-71.0,-0.32,-60
2015,33.0,-155.0,-0.6,-150.0,-229.0,-0.0,-140.0,-0.54,-93
2016,14.0,-279.0,-1.02,-257.0,81.0,0.0,-270.0,-1.0,-80
2017,29.0,-181.0,-0.62,-159.0,161.0,0.0,-141.0,-0.48,35
2018,32.0,-183.0,-0.47,-169.0,228.0,0.0,-186.0,-0.5,-1
2019,16.0,-131.0,-5.45,-111.0,242.0,0.0,-121.0,-5.04,28
