Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,29.0,12.0,3.0,16.0,-8.0,-0.0,8.0,2.0,0
2012,27.0,10.0,2.5,13.0,-18.0,-0.0,8.0,2.0,-16
2013,25.0,10.0,2.5,14.0,-11.0,-0.0,7.0,1.75,0
2014,24.0,9.0,2.98,13.0,-13.0,-0.0,8.0,2.67,-10
2015,29.0,12.0,3.0,18.0,-29.0,-0.0,10.0,2.5,33
2016,27.0,10.0,3.32,15.0,-26.0,-0.0,9.0,3.0,-16
2017,26.0,12.0,3.0,17.0,-27.0,-0.0,8.0,2.0,19
2018,27.0,12.0,4.0,17.0,-24.0,-0.0,10.0,3.33,0
2019,25.0,12.0,3.0,14.0,-18.0,-0.0,10.0,2.5,0
2020,23.0,11.0,2.75,14.0,-22.0,-0.0,11.0,2.75,-8
