Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,1443.0,113.0,18.83,189.0,0.0,0.0,117.0,19.5,0
2010,3050.0,204.0,33.98,621.0,-1096.0,-0.0,49.0,8.17,80
2011,2661.0,128.0,25.6,400.0,-476.0,-0.0,-9.0,-1.8,-37
2012,3187.0,179.0,35.8,546.0,-550.0,-0.0,253.0,50.6,39
2013,4212.0,264.0,66.0,452.0,-263.0,-0.0,254.0,63.5,47
2014,4446.0,280.0,70.0,492.0,55.0,0.11,157.0,39.25,6
2015,5160.0,382.0,95.5,647.0,171.0,0.26,212.0,53.0,36
2016,5828.0,423.0,105.75,704.0,201.0,0.29,372.0,93.0,10
2017,6311.0,535.0,133.75,893.0,-689.0,-0.0,551.0,137.75,26
2018,7174.0,796.0,199.0,1003.0,-23.0,-0.0,706.0,176.5,48
2019,7400.0,877.0,292.32,1071.0,-1140.0,-0.0,846.0,282.0,10
