Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,10.0,2.0,1.0,2.0,0.0,0.0,3.0,1.5,0
2011,25.0,5.0,1.66,10.0,27.0,2.7,8.0,2.67,148
2012,28.0,7.0,2.34,11.0,40.0,3.64,13.0,4.33,39
2013,28.0,7.0,2.34,11.0,65.0,5.91,11.0,3.67,0
2014,28.0,6.0,2.0,11.0,39.0,3.55,11.0,3.67,-14
2015,28.0,5.0,1.0,9.0,85.0,9.44,8.0,1.6,-16
2016,31.0,5.0,1.0,8.0,50.0,6.25,7.0,1.4,0
2017,40.0,7.0,1.16,16.0,61.0,3.81,12.0,2.0,39
2018,42.0,12.0,2.0,17.0,87.0,5.12,16.0,2.67,71
2019,43.0,12.0,2.0,17.0,103.0,6.06,15.0,2.5,0
