Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,1978.0,108.0,0.74,265.0,599.0,2.26,123.0,0.85,0
2011,1552.0,-39.0,-0.27,242.0,493.0,2.04,42.0,0.29,-136
2012,1593.0,135.0,0.9,206.0,-258.0,-0.0,48.0,0.32,446
2013,1574.0,64.0,0.43,239.0,-161.0,-0.0,18.0,0.12,-52
2014,1586.0,31.0,0.21,170.0,-163.0,-0.0,47.0,0.31,-51
2015,1577.0,62.0,0.37,196.0,-182.0,-0.0,154.0,0.94,99
2016,1553.0,24.0,0.15,162.0,-303.0,-0.0,73.0,0.45,-61
2017,1664.0,7.0,0.04,172.0,-240.0,-0.0,3.0,0.02,-70
2018,1743.0,124.0,0.72,239.0,-359.0,-0.0,79.0,0.48,1668
2019,1383.0,139.0,0.8,234.0,-431.0,-0.0,154.0,0.92,12
