Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,0.0,1.0,0.17,0.0,0.0,0.0,0.0,0.0,0
2011,73.0,2.0,0.34,4.0,8.0,2.0,-4.0,-0.67,98
2012,83.0,4.0,0.68,6.0,8.0,1.33,-2.0,-0.33,99
2013,74.0,0.0,0.0,4.0,9.0,2.25,-1.0,-0.25,-100
2014,82.0,0.0,0.0,3.0,9.0,3.0,-1.0,-0.17,-100
2015,71.0,-5.0,-0.84,0.0,12.0,0.0,-2.0,-0.33,-50099
2016,63.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,100
2017,62.0,-4.0,-0.68,2.0,12.0,6.0,-6.0,-1.0,-40099
2018,86.0,0.0,0.0,5.0,9.0,1.8,-1.0,-0.14,100
2019,69.0,-6.0,-0.84,-5.0,10.0,0.0,-4.0,-0.57,-60100
2020,65.0,-5.0,-0.7,-5.0,10.0,0.0,-2.0,-0.29,16
