Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,46.0,9.0,0.5,9.0,0.0,0.0,13.0,0.72,0
2011,90.0,20.0,1.12,37.0,282.0,7.62,12.0,0.67,121
2012,89.0,18.0,1.06,37.0,250.0,6.76,26.0,1.53,-10
2013,85.0,13.0,0.78,30.0,237.0,7.9,29.0,1.71,-27
2014,88.0,18.0,1.12,36.0,363.0,10.08,22.0,1.38,38
2015,91.0,19.0,1.18,35.0,378.0,10.8,22.0,1.38,5
2016,138.0,22.0,0.95,40.0,75.0,1.88,25.0,1.09,15
2017,195.0,40.0,1.2,75.0,315.0,4.2,30.0,0.91,81
2018,273.0,70.0,1.47,101.0,489.0,4.84,91.0,1.94,74
2019,307.0,86.0,1.72,133.0,567.0,4.26,97.0,1.94,22
