Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,225.0,6.0,0.76,21.0,0.0,0.0,-2.0,-0.25,0
2012,239.0,4.0,0.51,18.0,-8.0,-0.0,18.0,2.25,-33
2013,249.0,13.0,1.63,26.0,-17.0,-0.0,15.0,1.88,224
2014,265.0,8.0,1.34,21.0,3.0,0.14,-2.0,-0.33,-38
2015,260.0,10.0,1.66,26.0,-4.0,-0.0,10.0,1.67,24
2016,260.0,12.0,1.99,26.0,-13.0,-0.0,15.0,2.5,19
2017,260.0,10.0,1.67,27.0,-20.0,-0.0,11.0,1.83,-16
2018,263.0,7.0,1.01,26.0,-10.0,-0.0,-3.0,-0.43,-30
2019,275.0,11.0,1.82,27.0,-15.0,-0.0,13.0,2.17,56
2020,282.0,15.0,2.32,33.0,-18.0,-0.0,23.0,3.29,36
