Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,280.0,18.0,1.06,23.0,0.0,0.0,5.0,0.29,0
2011,434.0,-18.0,-0.99,29.0,176.0,6.07,40.0,2.22,-199
2012,437.0,42.0,2.21,95.0,-9.0,-0.0,-18.0,-0.95,333
2013,395.0,-28.0,-1.56,17.0,-8.0,-0.0,43.0,2.39,-166
2014,400.0,-7.0,-0.39,14.0,-36.0,-0.0,35.0,1.94,74
2015,394.0,-3.0,-0.16,8.0,-63.0,-0.0,20.0,1.11,57
2016,408.0,2.0,0.11,38.0,-39.0,-0.0,28.0,1.56,166
2017,431.0,5.0,0.29,57.0,-81.0,-0.0,39.0,2.17,148
2018,451.0,13.0,0.71,42.0,-69.0,-0.0,38.0,2.11,159
2019,452.0,9.0,0.47,28.0,-46.0,-0.0,38.0,2.0,-30
