Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,6.0,2.0,0.66,1.0,0.0,0.0,0.0,0.0,0
2011,27.0,4.0,0.68,6.0,1.0,0.17,7.0,1.17,99
2012,35.0,6.0,1.0,10.0,15.0,1.5,6.0,1.0,49
2013,47.0,6.0,0.66,9.0,27.0,3.0,11.0,1.22,0
2014,46.0,4.0,0.4,12.0,43.0,3.58,6.0,0.6,-33
2015,51.0,9.0,0.9,18.0,76.0,4.22,10.0,1.0,124
2016,59.0,12.0,1.2,22.0,198.0,9.0,14.0,1.4,33
2017,69.0,13.0,1.17,28.0,197.0,7.04,21.0,1.91,8
2018,100.0,26.0,1.72,42.0,225.0,5.36,20.0,1.33,99
2019,107.0,35.0,2.14,54.0,198.0,3.67,25.0,1.56,34
