Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,15.0,-11.0,-0.3,-6.0,0.0,0.0,-3.0,-0.08,0
2011,59.0,2.0,0.05,1.0,-345.0,-0.0,11.0,0.24,118
2012,81.0,9.0,0.2,20.0,-243.0,-0.0,13.0,0.28,347
2013,144.0,73.0,1.59,49.0,-272.0,-0.0,41.0,0.89,710
2014,189.0,41.0,0.89,69.0,-288.0,-0.0,42.0,0.91,-43
2015,190.0,15.0,0.32,45.0,-394.0,-0.0,107.0,2.28,-63
2016,197.0,46.0,1.0,84.0,-327.0,-0.0,75.0,1.63,206
2017,333.0,102.0,2.22,168.0,-419.0,-0.0,102.0,2.22,121
2018,246.0,56.0,1.19,12.0,-515.0,-0.0,97.0,2.11,-45
2019,403.0,136.0,2.94,51.0,-645.0,-0.0,164.0,3.57,142
