Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2008,6792.0,582.0,1.62,949.0,0.0,0.0,267.0,0.75,0
2009,11718.0,869.0,2.51,1616.0,663.0,0.41,1600.0,4.66,49
2010,12541.0,921.0,2.68,1712.0,876.0,0.51,1336.0,3.92,5
2011,13870.0,1059.0,3.31,1943.0,1388.0,0.71,1131.0,3.56,14
2012,14218.0,1116.0,3.6,2085.0,1756.0,0.84,1225.0,3.96,5
2013,14583.0,1109.0,3.71,2102.0,1311.0,0.62,1599.0,5.37,0
2014,15316.0,1232.0,4.23,2229.0,2159.0,0.97,1264.0,4.36,11
2015,15133.0,1201.0,4.39,2201.0,1951.0,0.89,1997.0,7.34,-2
2016,15415.0,1245.0,4.77,2306.0,1926.0,0.84,1787.0,6.87,3
2017,15272.0,1190.0,4.65,2351.0,1126.0,0.48,1870.0,7.33,-4
2018,15288.0,1438.0,5.83,2383.0,1234.0,0.52,1527.0,6.21,20
2019,14951.0,1434.0,6.53,2337.0,835.0,0.36,1755.0,8.01,0
2020,14889.0,1426.0,6.51,2325.0,2410.0,1.04,1164.0,5.39,0
