Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,110.0,2.0,0.06,5.0,0.0,0.0,-4.0,-0.12,0
2011,244.0,9.0,0.27,22.0,-199.0,-0.0,23.0,0.68,347
2012,313.0,14.0,0.42,39.0,-62.0,-0.0,39.0,1.15,55
2013,379.0,22.0,0.63,52.0,-104.0,-0.0,43.0,1.23,57
2014,439.0,29.0,0.8,67.0,-125.0,-0.0,52.0,1.44,31
2015,483.0,29.0,0.8,70.0,-82.0,-0.0,31.0,0.86,0
2016,690.0,0.0,0.0,57.0,199.0,3.49,36.0,1.0,-100
2017,713.0,20.0,0.54,50.0,177.0,3.54,9.0,0.24,199899
2018,785.0,35.0,0.87,87.0,68.0,0.78,79.0,1.98,74
2019,895.0,59.0,1.39,128.0,-77.0,-0.0,129.0,3.07,68
