Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,13.0,-4.0,-0.07,1.0,0.0,0.0,-4.0,-0.06,0
2011,14.0,-14.0,-0.19,-6.0,-3.0,-0.0,-15.0,-0.21,-250
2012,11.0,-18.0,-0.25,-10.0,4.0,0.0,-10.0,-0.14,-28
2013,24.0,-14.0,-2.33,-7.0,0.0,0.0,-24.0,-4.0,22
2014,4.0,-27.0,-3.86,-19.0,17.0,0.0,-30.0,-4.29,-92
2015,6.0,-20.0,-2.86,-20.0,16.0,0.0,-16.0,-2.29,25
2016,4.0,-8.0,-1.15,-3.0,23.0,0.0,-8.0,-1.14,59
2017,3.0,-9.0,-1.13,-6.0,26.0,0.0,-2.0,-0.25,-12
2018,3.0,-7.0,-0.87,-4.0,27.0,0.0,-6.0,-0.75,22
2019,4.0,-13.0,-1.43,-8.0,32.0,0.0,-6.0,-0.67,-85
