Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,-3.0,-3.0,-1.0,0.0,0.0,1.0,1.0,0
2011,4.0,-4.0,-1.0,-2.0,35.0,0.0,-3.0,-0.75,-33
2012,4.0,-5.0,-0.84,-5.0,28.0,0.0,-6.0,-1.0,-25
2013,4.0,-7.0,-1.01,-3.0,22.0,0.0,-9.0,-1.29,-40
2014,5.0,2.0,2.0,2.0,16.0,8.0,-4.0,-4.0,128
2015,4.0,0.0,0.0,2.0,15.0,7.5,-2.0,-2.0,-100
2016,4.0,-2.0,-2.0,0.0,11.0,0.0,0.0,0.0,-20099
2017,4.0,-4.0,-4.0,-2.0,14.0,0.0,0.0,0.0,-101
2018,4.0,-2.0,-2.0,-2.0,28.0,0.0,-2.0,-2.0,49
2019,4.0,-4.0,-4.0,-4.0,13.0,0.0,-2.0,-2.0,-101
