Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,478.0,13.0,0.92,32.0,0.0,0.0,6.0,0.43,0
2011,919.0,11.0,0.77,57.0,2475.0,43.42,77.0,5.5,-15
2012,915.0,0.0,0.0,35.0,1476.0,42.17,-21.0,-21.0,-100
2013,1018.0,24.0,1.69,71.0,1822.0,25.66,-17.0,-1.21,239900
2014,980.0,8.0,0.61,43.0,1742.0,40.51,74.0,5.69,-66
2015,895.0,3.0,0.14,18.0,1596.0,88.67,-24.0,-1.14,-62
2016,842.0,0.0,0.0,-15.0,1280.0,0.0,-69.0,-69.0,-100
2017,905.0,46.0,1.65,17.0,1452.0,85.41,-21.0,-0.75,459900
2018,942.0,56.0,2.06,47.0,1234.0,26.26,160.0,5.93,21
2019,1045.0,52.0,3.99,95.0,1212.0,12.76,70.0,5.38,-7
2020,1022.0,48.0,3.68,89.0,1105.0,12.42,-184.0,-14.15,-7
