Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,20.0,-4.0,-0.09,1.0,0.0,0.0,-1.0,-0.02,0
2011,43.0,0.0,0.0,6.0,-75.0,-0.0,-1.0,-0.02,100
2012,63.0,7.0,0.14,13.0,-57.0,-0.0,-23.0,-0.49,69900
2013,72.0,4.0,0.08,10.0,-22.0,-0.0,-28.0,-0.58,-42
2014,95.0,-4.0,-0.07,9.0,60.0,6.67,-41.0,-0.73,-199
2015,176.0,-12.0,-0.18,19.0,120.0,6.32,-45.0,-0.64,-200
2016,185.0,-22.0,-0.32,27.0,123.0,4.56,1.0,0.01,-83
2017,251.0,-59.0,-0.82,6.0,212.0,35.33,-28.0,-0.39,-168
2018,421.0,-25.0,-0.3,47.0,194.0,4.13,-10.0,-0.13,57
2019,723.0,-22.0,-0.26,56.0,193.0,3.45,9.0,0.11,11
2020,884.0,-23.0,-0.27,55.0,193.0,3.51,8.0,0.1,-4
