Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2009,525.0,-28.0,-1.06,68.0,0.0,0.0,17.0,0.65,0
2010,1043.0,-120.0,-4.12,100.0,1712.0,17.12,-437.0,-15.07,-328
2011,1047.0,-199.0,-6.62,48.0,2010.0,41.88,-232.0,-7.73,-65
2012,1135.0,-477.0,-15.89,-219.0,-507.0,-0.0,-75.0,-2.5,-139
2013,1015.0,-637.0,0.16,-512.0,-601.0,-0.0,102.0,-0.03,-33
2014,439.0,-153.0,0.88,-13.0,1279.0,0.0,-422.0,2.38,75
2015,466.0,282.0,10.06,128.0,497.0,3.88,272.0,9.71,284
2016,461.0,-294.0,9.8,67.0,334.0,4.99,323.0,-10.77,-204
2017,389.0,55.0,9.16,94.0,283.0,3.01,40.0,6.67,118
2018,365.0,12.0,12.0,76.0,265.0,3.49,40.0,40.0,-78
2019,445.0,9.0,0.1,84.0,326.0,3.88,-49.0,-0.55,-25
