Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,103.0,1.0,0.08,50.0,253.0,5.06,15.0,1.15,0
2011,100.0,4.0,0.8,47.0,-12.0,-0.0,7.0,1.4,296
2012,96.0,-127.0,-127.0,-108.0,238.0,0.0,23.0,23.0,-3267
2013,76.0,108.0,36.0,140.0,119.0,0.85,10.0,3.33,185
2014,72.0,4.0,1.32,26.0,106.0,4.08,13.0,4.33,-96
2015,68.0,5.0,2.5,29.0,93.0,3.21,14.0,7.0,24
2016,67.0,4.0,1.32,27.0,82.0,3.04,10.0,3.33,-20
2017,66.0,10.0,3.32,31.0,80.0,2.58,9.0,3.0,149
2018,64.0,7.0,2.31,25.0,68.0,2.72,12.0,4.0,-30
2019,60.0,5.0,1.65,21.0,65.0,3.1,3.0,1.0,-28
2020,60.0,5.0,1.65,21.0,63.0,3.0,3.0,1.0,0
