Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
2011,8.0,2.0,1.0,-1.0,158.0,0.0,8.0,4.0,197
2012,8.0,4.0,2.0,4.0,154.0,38.5,8.0,4.0,66
2013,4.0,4.0,2.0,4.0,143.0,35.75,8.0,4.0,0
2014,4.0,4.0,2.0,4.0,185.0,46.25,6.0,3.0,0
2015,8.0,2.0,1.0,4.0,176.0,44.0,6.0,3.0,-40
2016,8.0,4.0,1.32,4.0,-2.0,-0.0,3.0,1.0,66
2017,8.0,2.0,0.66,4.0,13.0,3.25,-2.0,-0.67,-40
2018,8.0,4.0,1.32,4.0,10.0,2.5,-1.0,-0.33,66
2019,11.0,2.0,0.66,3.0,4.0,1.33,2.0,0.67,-40
