Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0
2011,4.0,4.0,0.16,4.0,1.0,0.25,0.0,0.0,99
2012,6.0,4.0,0.08,4.0,0.0,0.0,1.0,0.03,0
2013,5.0,2.0,0.04,2.0,0.0,0.0,-6.0,-0.14,-50
2014,8.0,1.0,0.02,1.0,-2.0,-0.0,0.0,0.0,-50
2015,7.0,-1.0,0.06,-1.0,0.0,0.0,-6.0,0.0,-199
2016,9.0,4.0,0.08,4.0,1.0,0.25,-2.0,-0.05,504
2017,14.0,4.0,0.08,4.0,-2.0,-0.0,2.0,0.05,0
2018,21.0,4.0,0.04,4.0,-5.0,-0.0,10.0,0.19,0
2019,33.0,5.0,0.06,6.0,-9.0,-0.0,13.0,0.24,24
