Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,369.0,125.0,2.72,229.0,368.0,1.61,163.0,3.54,0
2011,382.0,140.0,3.04,256.0,-61.0,-0.0,207.0,4.5,11
2012,454.0,166.0,3.26,333.0,143.0,0.43,221.0,4.33,18
2013,593.0,219.0,3.65,412.0,-264.0,-0.0,294.0,4.9,31
2014,790.0,296.0,4.36,519.0,-186.0,-0.0,335.0,4.93,35
2015,749.0,284.0,4.05,509.0,244.0,0.48,306.0,4.37,-4
2016,749.0,272.0,3.96,473.0,874.0,1.85,329.0,4.77,-4
2017,732.0,270.0,3.92,462.0,438.0,0.95,379.0,5.49,0
2018,734.0,307.0,4.43,447.0,905.0,2.02,228.0,3.3,13
2019,818.0,331.0,4.51,469.0,1233.0,2.63,383.0,5.25,7
