Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2010,7.0,-13.0,-13.0,-5.0,0.0,0.0,-7.0,-7.0,0
2011,13.0,-41.0,-2.56,-32.0,-50.0,-0.0,-33.0,-2.06,-215
2012,37.0,-50.0,-1.67,-42.0,-15.0,-0.0,-85.0,-2.83,-21
2013,84.0,-62.0,-1.87,-44.0,27.0,0.0,-50.0,-1.52,-24
2014,196.0,-14.0,-0.4,9.0,-53.0,-0.0,5.0,0.14,77
2015,248.0,3.0,0.06,20.0,-53.0,-0.0,-12.0,-0.29,121
2016,274.0,-35.0,-0.94,-15.0,-63.0,-0.0,10.0,0.27,-1262
2017,285.0,-41.0,-1.06,1.0,-34.0,-0.0,0.0,0.0,-17
2018,336.0,-1.0,-0.02,40.0,-91.0,-0.0,35.0,0.74,97
2019,522.0,-10.0,-0.23,31.0,15.0,0.48,86.0,2.1,-910
