Year,Net Revenue,Net Income,EPS,EBITDA,Net Debt,ND/EBITDA,FCF,FCF/Share,%
2011,4.0,-4.0,-0.16,-4.0,59.0,0.0,-2.0,-0.09,0
2012,4.0,-16.0,-0.66,-15.0,75.0,0.0,-5.0,-0.21,-301
2013,4.0,-4.0,-0.16,-2.0,65.0,0.0,-6.0,-0.25,74
2014,4.0,-2.0,-0.06,-2.0,11.0,0.0,-2.0,-0.06,49
2015,2.0,-22.0,-0.91,-23.0,-37.0,-0.0,-3.0,-0.13,-1005
2016,4.0,-4.0,-0.16,-4.0,-27.0,-0.0,-4.0,-0.17,81
2017,4.0,-4.0,-0.16,-4.0,-25.0,-0.0,-12.0,-0.52,0
2018,6.0,2.0,0.08,4.0,-19.0,-0.0,-6.0,-0.26,150
2019,19.0,4.0,0.16,5.0,-9.0,-0.0,2.0,0.08,99
2020,48.0,10.0,0.4,11.0,-20.0,-0.0,20.0,0.83,149
